month,net_mwh,co2_t,avg_intensity_kg_per_mwh,ets_cost_eur
2011-01,109502.42,42392.46027554765,389.14116073623336,2755509.9179105973
2011-02,97495.54,37799.39106365127,389.6079026682181,2456960.4191373326
2011-03,103024.12,41112.77297789776,402.15048547172273,2672330.2435633545
2011-04,100771.71,39802.699944031854,399.01818023394014,2587175.4963620706
2011-05,97468.77,39685.56149319209,410.85948705136695,2579561.497057486
2011-06,94210.01,38239.74025738212,409.3781616739485,2485583.1167298374
2011-07,94731.79,39201.8439388427,418.19118165578146,2548119.8560247757
2011-08,95374.81,39313.31387293647,415.0642495242332,2555365.401740871
2011-09,100098.31,39486.7718684283,399.36387302890773,2566640.1714478396
2011-10,97893.16,40082.94375878877,412.7206233190135,2605391.3443212705
2011-11,101784.8,39810.88771304625,393.8410425543523,2587707.7013480063
2011-12,105587.55,41664.448931755534,399.8301899305383,2708189.1805641097
2012-01,98957.88,40181.33230682283,411.1618678768094,2611786.5999434837
2012-02,89213.79,37300.793168350174,421.68198742988227,2424551.5559427612
2012-03,97805.68000000001,40063.72604681191,411.9317929739308,2604142.1930427747
2012-04,93722.9,38084.181314637404,408.2656340538602,2475471.7854514313
2012-05,94527.58,39017.456224564936,415.56940638468285,2536134.654596721
2012-06,94396.81,38373.62799115089,408.15785331047374,2494285.819424808
2012-07,94231.68,39346.743239401956,420.0182960503017,2557538.3105611275
2012-08,99265.39,40291.17786674653,409.7770543118702,2618926.561338525
2012-09,99361.53,39551.61132770848,401.536818203964,2570854.7363010515
2012-10,101021.54,40608.796706112786,406.14863008444775,2639571.785897331
2012-11,96385.2,39108.65073155449,410.75478209771376,2542062.297551042
2012-12,96578.41,39915.29139552102,418.02919349652154,2594493.9407088663
2013-01,94237.56,39728.38625685829,424.00670303572235,2582345.106695789
2013-02,86361.23,35981.707624611,418.85842197618297,2338810.995599715
2013-03,93385.75,39307.65579152764,423.5088685550415,2554997.6264492967
2013-04,90885.91,37870.29841884888,420.7194669346523,2461569.397225177
2013-05,100560.86,40120.713718367995,403.175606843318,2607846.39169392
2013-06,100010.84,39331.80508947047,396.28712463317066,2556567.3308155807
2013-07,101594.33,40844.89244131582,406.1345537506031,2654918.0086855283
2013-08,101218.03,40257.53288453112,400.02322963459403,2616739.637494523
2013-09,97274.93,38468.587720318465,396.2536103261984,2500458.2018207
2013-10,99798.3,39827.46034911375,400.95006817437053,2588784.922692394
2013-11,99189.94,39152.12298596234,397.6038254597956,2544887.994087552
2013-12,96850.82,39948.85075051924,414.7570546107339,2596675.2987837507
2014-01,94628.27,40211.743851971376,426.88909329472864,2613763.3503781394
2014-02,93621.29,36475.61616971641,393.17082765241753,2370915.0510315667
2014-03,95519.47,40590.926759931455,428.7415221003294,2638410.239395545
2014-04,92612.7,39804.91100973126,434.65168472964285,2587319.215632532
2014-05,107529.45,42333.59951708015,398.81139525318144,2751683.96861021
2014-06,90471.66,38675.8376056764,430.06333656544507,2513929.4443689664
2014-07,97284.03,39602.164468670395,411.25215641452917,2574140.6904635755
2014-08,95272.8,39453.43306593539,418.0277640010999,2564473.1492858003
2014-09,98976.9,38843.0690317859,396.02682648986,2524799.487066083
2014-10,107358.77,40363.82881068539,378.24285289875075,2623648.87269455
2014-11,98829.81,38794.033893451655,395.8806694435963,2521612.203074358
2014-12,97127.17,40401.23647146704,418.35568111200536,2626080.3706453573
2015-01,93568.39,39729.58961696915,427.4402686469417,2582423.325102994
2015-02,89209.27,36855.45563546667,416.1900752308943,2395604.616305334
2015-03,37300.86,14435.479711817512,390.2933186741324,938306.1812681382
